,nsMACD_SIGNAL,trend_macd_signal,nsMACD_OSC,trend_macd_diff,nsRSI,momentum_rsi,nsSTO_K,momentum_stoch,nsSTO_D,nsBOL_UP,volatility_bbh,nsBOL_DOWN,volatility_bbl,nsBOL_WIDTH,volatility_wid
0,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,,,,,,25.4780902615081,12.82051,12.820512820512821,,,,,,,
14,,,,,28.0303028122,24.88927832080455,15.47619,15.476190476190476,,,,,,,
15,,,,,31.3888884868,30.1077652695528,23.17073,23.170731707317074,17.15581,,,,,,
16,,,,,31.1281570147,29.73693742330208,21.95122,21.951219512195124,20.19938,,,,,,
17,,,,,39.2761878256,41.39674757938396,40.2439,40.24390243902439,28.45528,,,,,,
18,,,,,40.290514234,42.760647597965004,42.68293,42.68292682926829,34.95935,,,,,,
19,,,,,39.578541597,41.71511179110084,41.77215,41.77215189873418,41.56633,8356535.89802,8356535.898011339,8256564.10198,8256564.101988661,99971.79604,99971.7960226778
20,,,,,36.7788921411,37.740067398688744,32.46753,32.467532467532465,38.9742,8353568.86048,8353568.860489675,8254931.13952,8254931.139510325,98637.72096,98637.72097934969
21,,,,,40.1957126402,42.189467761455674,41.33333,41.333333333333336,38.52434,8349770.47878,8349770.478788017,8254529.52122,8254529.521211983,95240.95756,95240.95757603459
22,,,,,40.7702696131,42.92161420186574,51.6129,51.61290322580645,41.80459,8347131.00472,8347131.004712221,8253968.99528,8253968.995287779,93162.00944,93162.00942444243
23,,,,,39.9437290758,41.78190538560442,50.84746,50.847457627118644,47.93123,8345947.82018,8345947.820185666,8253052.17982,8253052.179814334,92895.64036,92895.64037133195
24,,,,,41.8481379358,44.176388259393384,71.73913,71.73913043478261,58.0665,8342586.0034,8342586.003397711,8253113.9966,8253113.996602289,89472.0068,89472.00679542124
25,,,,,41.8481379358,44.176388259393384,71.73913,71.73913043478261,64.77524,8336423.8887,8336423.888703434,8254876.1113,8254876.111296566,81547.7774,81547.7774068676
26,,,,,40.846670945,42.814860839481554,67.3913,67.3913043478261,70.28985,8328898.31456,8328898.314566844,8257701.68544,8257701.685433156,71196.62912,71196.62913368829
27,,,,,44.4272017488,47.196378692343686,72.97297,72.97297297297297,70.70113,8321529.05574,8321529.0557435835,8261270.94426,8261270.9442564165,60258.11148,60258.111487166956
28,,,,,47.1816082388,50.46615550727845,82.35294,82.3529411764706,74.23907,8314467.45816,8314467.458150976,8265332.54184,8265332.541849024,49134.91632,49134.916301952675
