nsYMD,nsStockCode,nsStockName,nsOpenPrice,nsClosePrice,nsHighPrice,nsLowPrice,nsTradeQty,nsPreOpenPrice,nsPreClosePrice,nsPreHighPrice,nsPreLowPrice,nsPreTradeQty,nsMA5,nsMA10,nsMA15,nsMA20,nsMA50,nsMA60,nsMA120,nsMA200,nsMA240,nsVMA5,nsVMA10,nsVMA15,nsVMA20,nsVMA50,nsVMA60,nsVMA120,nsVMA200,nsVMA240,nsEMA12,nsEMA26,nsMACD,nsMACD_SIGNAL,nsMACD_OSC,nsGain,nsLoss,nsGainEMA14,nsLossEMA14,nsRSI,nsSTO_K,nsSTO_D,nsBOL_UP,nsBOL_DOWN,nsBOL_WIDTH,nsBTC_OpenPrice,nsBTC_ClosePrice,nsBTC_HighPrice,nsBTC_LowPrice
2020-07-30 12:00:00.000,KAI,KAI,17.29,12.87,17.3,11.22,6701539.3142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.87,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12994000,13015000,13019000,12974000
2020-07-30 12:15:00.000,KAI,KAI,12.9,13.1,14.49,12.5,1057181.812,17.29,12.87,17.3,11.22,6701539.3142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.23,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13014000,13013000,13045000,13000000
2020-07-30 12:30:00.000,KAI,KAI,13.1,13.2,13.43,12.8,1864874.6632,12.9,13.1,14.49,12.5,1057181.812,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13012000,12996000,13013000,12987000
2020-07-30 12:45:00.000,KAI,KAI,13.13,13.48,13.48,13.03,270393.0295,13.1,13.2,13.43,12.8,1864874.6632,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.28,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12997000,12970000,12997000,12968000
2020-07-30 13:00:00.000,KAI,KAI,13.48,13.06,13.48,13.06,707319.7873,13.13,13.48,13.48,13.03,270393.0295,13.142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2120261.72124,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12968000,13024000,13027000,12960000
2020-07-30 13:15:00.000,KAI,KAI,13.02,13.47,13.47,12.65,123545.5536,13.48,13.06,13.48,13.06,707319.7873,13.262,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,804662.96912,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.41,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13026000,13035000,13035000,13023000
2020-07-30 13:30:00.000,KAI,KAI,13.4,13.35,13.47,13.35,41956.2104,13.02,13.47,13.47,12.65,123545.5536,13.312,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,601617.8488,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13035000,13036000,13043000,13028000
2020-07-30 13:45:00.000,KAI,KAI,13.4,13.7,13.7,13.38,180382.5409,13.4,13.35,13.47,13.35,41956.2104,13.412,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,264719.42434,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.35,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13037000,13039000,13041000,13032000
2020-07-30 14:00:00.000,KAI,KAI,13.8,13.65,13.8,13.59,23713.4996,13.4,13.7,13.7,13.38,180382.5409,13.446,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,215383.51836,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13038000,13026000,13042000,13021000
2020-07-30 14:15:00.000,KAI,KAI,13.52,13.44,13.52,13.41,73579.4543,13.8,13.65,13.8,13.59,23713.4996,13.522,13.332,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88635.45176,1104448.5865,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13026000,13010000,13030000,13004000
